time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1695	1.36837	5.19091	0.251687	0.245508	radar	4.51971	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3907	1.44737	5.14729	0.273141	0.258922	lidar	1.08618	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6201	1.53603	4.9959	0.300444	0.283049	radar	3.01818	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8407	1.55899	4.94582	0.288782	0.247586	lidar	1.36557	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1094	1.61191	5.04979	0.286155	0.22446	radar	2.29486	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3925	1.6529	5.1015	0.276169	0.194429	lidar	2.16128	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.622	1.70943	5.02953	0.281094	0.188884	radar	0.718529	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8496	1.77056	5.00349	0.287023	0.184137	lidar	0.301673	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1071	1.86552	5.12647	0.30431	0.193059	radar	1.39633	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3512	1.88653	5.09645	0.284196	0.151955	lidar	0.767652	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6085	1.94795	5.18048	0.282897	0.137701	radar	0.777413	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8061	2.08677	5.13638	0.330376	0.193705	lidar	3.11109	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0753	2.20164	5.29163	0.349507	0.202999	radar	2.84024	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2782	2.34457	5.25201	0.392035	0.247578	lidar	2.31048	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4505	2.49696	5.04234	0.445897	0.312256	radar	10.2977	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7033	2.60712	5.08354	0.457277	0.306249	lidar	0.953966	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9218	2.7228	5.05689	0.475659	0.31151	radar	0.126188	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1519	2.87478	5.09493	0.507204	0.333012	lidar	0.475403	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4037	2.9899	5.2243	0.507877	0.304232	radar	1.3541	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6108	3.04869	5.13303	0.492802	0.263598	lidar	2.44539	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8418	3.21197	5.24031	0.521475	0.280695	radar	3.4089	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0519	3.40627	5.27579	0.568442	0.325292	lidar	0.773919	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
